SizeRank,RegionID,RegionName,RegionType,StateName,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11
1,6181,New York,City,NY,0.907575758,0.914634146,0.891958288,0.920214718,0.921723031,0.922874138,0.930787589,0.930717863,0.88698597,0.93057191,0.924259297,0.926557823,0.923694779,0.918567591,0.91771692,0.922451532,0.928093645,0.924364361,0.931721337,0.935397995,0.924434489,0.924242424,0.917264819,0.921321045,0.920122699,0.909090909,0.911227272,0.918357757,0.918854415,0.931818182,0.938967136,0.936,0.937436508,0.935447949,0.937139836,0.936470668,0.933333333,0.936065402,0.93258427,0.939849624,0.946547884,0.956669141,0.958592773,0.964934238,0.965366199,0.961393993,0.956570102,0.957692308,0.960768615,0.956653322,0.9552452,0.954653938,0.963855422,0.96875,0.969565217,0.96975346,0.966340512,0.963020031,0.961785073,0.960999961,0.96031746,0.961128153,0.954571912,0.957401443,0.966839378,0.973350254,0.971953252,0.974930362,0.973154362,0.969251337,0.967532468,0.967529368,0.966032953,0.962275769,0.961909944,0.963855422,0.964229264,0.966666667,0.973544974,0.973333333,0.967741935,0.970036556,0.965116279,0.967140326,0.967567568,0.969241053,0.962110012,0.965517241,0.970656213,0.972222222,0.974533874,0.974632844,0.972222222,0.970128953,0.965579009,0.968181654,0.963235294,0.961405195,0.965118524,0.963855422,0.970470206,0.969626168,0.971430422,0.967213115,0.964727709,0.959183673,0.955315871,0.953691722,0.949033392,0.948275862,0.942914314,0.943396226,0.944560427,0.946432749,0.955059082,0.956284153,0.954773869,0.950001583,0.942720764
2,12447,Los Angeles,City,CA,0.957481574,0.947431227,0.95948192,0.964912281,0.971599402,0.967007964,0.962861225,0.960736196,0.958613177,0.946300716,0.948759056,0.942857143,0.941233086,0.934948594,0.937766738,0.951735812,0.951239435,0.949262537,0.945799458,0.943574293,0.939317152,0.941176471,0.944174588,0.941320293,0.940359966,0.944827586,0.941383436,0.953288847,0.966415374,0.972432374,0.976377022,0.97323601,0.979959839,0.982141099,0.984555985,0.981311332,0.99,0.992207792,1,1,1.000370508,1.000367386,1.000259852,1.000111748,1,1,0.984974958,0.981412639,0.97757936,0.978947368,0.988602,0.98875622,0.988636364,0.988237619,0.986996099,0.983336611,0.98245614,0.977886444,0.973901858,0.973959174,0.968307752,0.977707006,0.983899821,0.993144501,0.994472407,1,0.992388521,0.993215724,0.991304348,0.987511521,0.984990619,0.98245614,0.978428351,0.983102011,0.992307692,0.995550612,1,1,1,0.9939985,0.988533164,0.987179487,0.98392184,0.981513352,0.980511242,0.983122062,0.9917603,1,1,1,1,1,0.995535714,0.994728993,0.998176086,0.990659547,0.991733333,1,1,1,1.000002857,1,1,1,0.992054976,0.984615385,0.979293746,0.972457301,0.969001479,0.974157777,0.979993099,0.983018807,0.990999182,0.991668733,0.98822193,0.988467875,0.985761073,0.986576886,0.985897413
3,39051,Houston,City,TX,0.93250627,0.923787529,0.934989043,0.939802747,0.949044586,0.945201508,0.939272519,0.930465233,0.922971114,0.914043404,0.912280702,0.909090909,0.908765769,0.909957122,0.918367347,0.926640927,0.92761004,0.931494165,0.931457396,0.925004625,0.9164357,0.924484557,0.924550465,0.925895723,0.923641214,0.929013816,0.936172566,0.943820225,0.950691641,0.951534015,0.952380952,0.947418285,0.946537167,0.941597139,0.944970414,0.945454545,0.950237559,0.95,0.962278676,0.969230769,0.974750069,0.978145469,0.979319546,0.97687784,0.9736,0.968280467,0.962962963,0.962892349,0.962800875,0.966093874,0.964513194,0.971764706,0.975672348,0.976165766,0.982961316,0.983107915,0.976900556,0.970847902,0.971345313,0.971718825,0.970588235,0.970332225,0.973104822,0.978824769,0.979196879,0.977690958,0.974076984,0.969380626,0.967702344,0.961974582,0.958333333,0.955789474,0.951855518,0.951585977,0.958490566,0.962365846,0.96875,0.965250965,0.96641791,0.961777325,0.957446809,0.952941176,0.953293991,0.950780779,0.948717949,0.947619048,0.957377049,0.960808824,0.96570933,0.964665279,0.963888889,0.96,0.953932061,0.952031746,0.951490722,0.94954175,0.946701847,0.952380952,0.955085957,0.964552689,0.967741935,0.966341632,0.964497041,0.96,0.956636461,0.951587302,0.946414879,0.950365525,0.95,0.950622234,0.954545455,0.961538462,0.966228893,0.968421053,0.963650725,0.957264061,0.953846154,0.953333333,0.951834013
4,17426,Chicago,City,IL,0.898176292,0.889567955,0.905714286,0.900360144,0.908068455,0.921352146,0.92920354,0.916590353,0.910962588,0.907015292,0.896436526,0.894023467,0.889482053,0.890868597,0.885137917,0.900858165,0.913075237,0.916666667,0.909635679,0.913642053,0.900377707,0.898961762,0.892479187,0.884837706,0.900199897,0.892857143,0.886254161,0.902108212,0.926236798,0.928665662,0.935483871,0.933689744,0.936073059,0.935980296,0.932625591,0.927272727,0.933333333,0.93266606,0.944827586,0.952380952,0.96031746,0.965685425,0.96875,0.96524131,0.966573816,0.962962963,0.961389961,0.955964772,0.949484674,0.95,0.952380952,0.9612948,0.966990831,0.970724191,0.967613122,0.962458824,0.959375,0.952380952,0.947661906,0.94,0.93544137,0.933333333,0.949832776,0.960352423,0.970149254,0.97,0.967416582,0.964285714,0.958785289,0.955505344,0.950347621,0.942857143,0.939047619,0.945494994,0.958071095,0.96969697,0.970154888,0.974490931,0.972904164,0.971153846,0.964114833,0.960530716,0.957446809,0.951724138,0.948148148,0.947541016,0.962216106,0.968885024,0.975609756,0.975471145,0.974710193,0.968387355,0.962400828,0.957583548,0.957446809,0.947740521,0.948386689,0.94972067,0.970064671,0.973913043,0.973111707,0.972979733,0.969230769,0.965517241,0.961651322,0.953775039,0.950316772,0.941453369,0.935844614,0.944444444,0.955856386,0.970171646,0.972972973,0.971499618,0.966608084,0.961057521,0.955017858,0.95159944,0.947272553
5,6915,San Antonio,City,TX,0.947056992,0.947107822,0.947387914,0.957786283,0.960130187,0.956783924,0.948039755,0.943727301,0.9375,0.931832395,0.927080062,0.923685435,0.924072842,0.924239758,0.931606751,0.94173043,0.944372139,0.948163905,0.944969427,0.946428571,0.941194864,0.928270042,0.933748333,0.9356934,0.931163955,0.93716985,0.947493734,0.95,0.956208813,0.961403509,0.956244016,0.955808783,0.954545455,0.950197999,0.949162011,0.948193256,0.948175061,0.949760217,0.957354221,0.968858131,0.970896296,0.974853995,0.973529412,0.968280467,0.969211811,0.955907278,0.961538462,0.961932474,0.961538462,0.966492852,0.969678593,0.974230481,0.977019917,0.976863753,0.975757576,0.972623558,0.971861181,0.966292135,0.964840432,0.96294924,0.956798545,0.967575758,0.976253298,0.980815237,0.983050847,0.982598709,0.98331998,0.977310924,0.975684826,0.971420403,0.970112964,0.971014493,0.967142857,0.970861425,0.977443609,0.983827376,0.986505351,0.984126984,0.987101869,0.981233494,0.976744186,0.972972973,0.971428571,0.968780274,0.968688725,0.972337664,0.978723404,0.981404959,0.983807097,0.987101869,0.983386568,0.982857143,0.973947849,0.970772443,0.973227703,0.964675089,0.968153729,0.973451327,0.976745933,0.984199487,0.986493882,0.987381578,0.984650211,0.9765603,0.974874372,0.972826087,0.968181818,0.96884042,0.967741935,0.97107438,0.974619289,0.979177055,0.984429066,0.985347985,0.984126984,0.979320945,0.976744186,0.971274593,0.971412236
6,13271,Philadelphia,City,PA,0.906689804,0.915860215,0.913637879,0.924304079,0.934579439,0.944377751,0.932904179,0.918999061,0.922746781,0.904491518,0.909090909,0.890445223,0.901803607,0.895789788,0.905660377,0.909090909,0.913724099,0.917594655,0.911823647,0.908513529,0.903225806,0.897170462,0.88526115,0.889512221,0.882872278,0.875,0.88992264,0.89375,0.907820029,0.91638796,0.924353159,0.918367347,0.909090909,0.903269723,0.904007232,0.911006371,0.902777778,0.888429752,0.915736822,0.919866221,0.934475482,0.939849624,0.938316895,0.931072818,0.930500076,0.923279886,0.909090909,0.912301354,0.915312233,0.909035779,0.913043478,0.917293233,0.93135564,0.940526154,0.9375,0.925925926,0.924221366,0.920974077,0.916568047,0.917718993,0.909090909,0.912628916,0.92,0.917686318,0.944969427,0.945587348,0.945262931,0.943306336,0.937681397,0.933333333,0.927870985,0.924938656,0.926002618,0.923224898,0.933753943,0.946615035,0.954887218,0.95836241,0.961908426,0.955254217,0.957683742,0.947617794,0.9476,0.946086957,0.94173043,0.932160804,0.945606695,0.958298582,0.962264151,0.970588235,0.967213115,0.964083176,0.95580403,0.959207674,0.958927736,0.945551498,0.941422594,0.942809224,0.951111111,0.96,0.971428571,0.973913043,0.976190476,0.972539902,0.970670391,0.960384154,0.956759924,0.953818278,0.946368558,0.941558442,0.945375879,0.95911176,0.966988996,0.970674985,0.964756584,0.959166895,0.959372577,0.954545455,0.959991997
7,40326,Phoenix,City,AZ,0.937829294,0.931108719,0.934328358,0.928961749,0.936454849,0.933955971,0.923076923,0.920368147,0.90681676,0.909090909,0.908599877,0.896569921,0.893854749,0.893682589,0.9,0.910125142,0.92,0.933488941,0.95,0.954545455,0.957596644,0.963172805,0.960610932,0.959031657,0.963096034,0.961538462,0.972606956,0.980457514,1,1,0.996015936,1,0.990131871,0.99959984,0.983221477,0.978824294,0.971965832,0.966942828,0.974569685,0.978823529,0.980625782,0.980756888,0.978723404,0.978236704,0.972677596,0.967311541,0.959970985,0.955882353,0.953488372,0.956521739,0.955505344,0.955661752,0.956284153,0.958595527,0.95851216,0.955555556,0.955172414,0.954545455,0.952380952,0.956009459,0.954087719,0.960382842,0.965517241,0.968512111,0.971698113,0.968991923,0.9719251,0.970588235,0.96972973,0.969230769,0.96735905,0.9655239,0.9625,0.967591898,0.969146341,0.972762646,0.972762646,0.971983991,0.971943888,0.96969697,0.97,0.96749435,0.96991404,0.967741935,0.96875,0.969441517,0.973134328,0.975,0.976390556,0.97698598,0.975409836,0.976627713,0.97262388,0.974646465,0.970048505,0.967785539,0.971399357,0.973684211,0.978449194,0.981663271,0.982175336,0.980810235,0.982142857,0.977394944,0.973684141,0.974842767,0.973235707,0.972951694,0.969355847,0.969899666,0.974212034,0.975306635,0.978947147,0.978835979,0.979434447,0.979002733,0.98,0.978552125,0.98
8,18959,Las Vegas,City,NV,0.965399824,0.962962963,0.959132611,0.961118392,0.962962963,0.964785374,0.963375559,0.957164519,0.96,0.954297282,0.944363181,0.936225549,0.931034483,0.931506849,0.933955971,0.93771747,0.941847826,0.947368421,0.949206349,0.95,0.943154347,0.948296812,0.947991261,0.941860916,0.951015862,0.946428571,0.958439355,0.968105622,0.979899497,0.984,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.996098056,0.986206897,0.97873214,0.96875,0.966666667,0.96875,0.964908772,0.970970971,0.974921516,0.972762646,0.972702434,0.972703511,0.965081593,0.965004825,0.962772786,0.957502394,0.958605664,0.961538462,0.967741935,0.96794689,0.969946344,0.972762646,0.974545455,0.971456328,0.97133758,0.966783217,0.962563703,0.960784314,0.964765101,0.966661109,0.96820386,0.975447082,0.973303671,0.973451327,0.973816972,0.973297683,0.972227623,0.969319698,0.969293308,0.969989451,0.970641102,0.97222174,0.979397612,0.98245614,0.984227129,0.987013359,0.988850575,0.989208633,0.984210526,0.98405467,0.981966751,0.983196721,0.981615783,0.986622074,0.989988877,0.993157655,0.9920854,0.994482496,0.991735537,0.988235294,0.98259186,0.979591837,0.973076923,0.96875,0.969056375,0.965879692,0.972447326,0.973499189,0.971706202,0.973756143,0.970149254,0.967311541,0.968,0.966985903,0.965116279
9,54296,San Diego,City,CA,0.958770218,0.952348408,0.971045198,0.965683739,0.973058011,0.960915677,0.965250965,0.962264151,0.953795257,0.940298507,0.941747573,0.942754736,0.936053587,0.936507937,0.942842814,0.933670843,0.945945946,0.938069217,0.935273581,0.93987976,0.940695297,0.938610999,0.937052933,0.927583179,0.933333333,0.9375,0.943780912,0.96,0.963986904,0.966608084,0.969639915,0.970853167,0.974955277,0.968819599,0.972916549,0.975243811,0.983230595,0.985995999,0.987220317,1,1,1,1,0.987294469,0.978545857,0.97037037,0.966610477,0.961916137,0.958485958,0.970588235,0.970766338,0.972495088,0.973924972,0.972904164,0.970748317,0.96633572,0.957554049,0.958684366,0.954587581,0.952380952,0.956410256,0.961904762,0.970377937,0.974212034,0.977142857,0.98260855,0.981412639,0.974444444,0.977443609,0.969793323,0.971943888,0.96969697,0.971850864,0.974025974,0.982356769,0.987055016,0.986584579,0.98843892,0.98638834,0.979927477,0.978384528,0.975268199,0.976410413,0.975276226,0.977220957,0.983319433,0.993018276,0.996248545,1,0.995999428,0.991633747,0.985714286,0.989208633,0.981481481,0.982831966,0.977055365,0.983519717,0.991967742,0.992579391,0.99288159,0.99047619,0.990783214,0.987728245,0.981547687,0.975395431,0.966966593,0.963429585,0.956048153,0.962052024,0.967741935,0.972413793,0.979591837,0.982903434,0.982608696,0.982948847,0.978931688,0.977896488,0.976744186,0.977453635
10,38128,Dallas,City,TX,0.919017288,0.917263244,0.929678611,0.925,0.940313438,0.937807354,0.923694779,0.92815113,0.905284211,0.908711963,0.907079646,0.901126408,0.9,0.911127525,0.910408372,0.919375981,0.935973012,0.92047486,0.922776822,0.924119241,0.921867556,0.907534247,0.909107439,0.923717712,0.920184074,0.918292683,0.93995993,0.947911344,0.953160299,0.955497382,0.949012485,0.95137561,0.943005181,0.94122061,0.944444444,0.942675159,0.943794852,0.947761194,0.96,0.96615019,0.96875,0.971223022,0.968480189,0.968479117,0.955939523,0.957746479,0.95901836,0.945491235,0.954595642,0.96191087,0.972005463,0.973451327,0.972917092,0.974789916,0.970106668,0.970951337,0.965517241,0.961002786,0.962738343,0.956521739,0.95701829,0.963125013,0.972492359,0.98258553,0.988888889,0.986725664,0.980966009,0.985858586,0.972481406,0.968109339,0.96131843,0.965299685,0.964485981,0.97309038,0.97484424,0.980952381,0.986005577,0.980392157,0.984580686,0.976607387,0.973684211,0.97328476,0.96,0.964819456,0.96875,0.964932925,0.975473895,0.978198329,0.982142857,0.981612205,0.981092205,0.974967062,0.970119048,0.961895777,0.961281709,0.957209864,0.963525499,0.964497041,0.969272727,0.979899497,0.976536413,0.975757576,0.972536567,0.967742563,0.964539007,0.965020242,0.95379538,0.947297201,0.95625,0.961538462,0.961538462,0.963986904,0.965911562,0.966425765,0.961783439,0.952876712,0.952631579,0.941880342,0.949874687
11,10221,Austin,City,TX,0.938461538,0.946923647,0.957524041,0.958533069,0.964873277,0.95,0.94718206,0.939393939,0.940193326,0.928324584,0.92962963,0.928157494,0.923884311,0.930657742,0.935093509,0.951289398,0.951111111,0.953797212,0.949748744,0.944303797,0.942967033,0.936435786,0.945558739,0.94137931,0.939393939,0.943396226,0.962740685,0.971264824,0.972762646,0.976190476,0.974289387,0.973333333,0.965467019,0.964827586,0.961712381,0.964705882,0.963636364,0.974193548,0.983606557,0.993671472,1,1,0.995698134,0.989085948,0.98147462,0.98019802,0.972440657,0.97252908,0.969498911,0.982073266,0.988120986,1,1,1,0.9975,0.985915493,0.981863665,0.970873786,0.975348511,0.973864517,0.971940299,0.981210856,0.985359104,0.999115543,0.997014925,0.996240602,0.991097609,0.983333333,0.976470588,0.97323601,0.97254902,0.96876211,0.971706202,0.982952735,0.991091314,1,0.994666667,0.990606618,0.988121752,0.981148591,0.974952574,0.967741935,0.968932039,0.968553459,0.970149254,0.971751412,0.979849956,0.990291262,0.989004883,0.985550692,0.98293906,0.975555556,0.969899666,0.96875,0.964434565,0.95684803,0.967539034,0.971840288,0.9835519,0.989748337,0.989987469,0.989130435,0.983284554,0.975274725,0.972160416,0.966386555,0.964868201,0.960297235,0.961789274,0.972972973,0.98265896,0.995065359,0.993103049,0.988235294,0.988888889,0.988522238,0.980572289,0.976729649,0.977298961
12,33839,San Jose,City,CA,0.991781267,0.985258859,0.9875,0.990909091,0.996106785,0.984114105,0.982528083,0.976831602,0.971428571,0.968280767,0.957461402,0.951744892,0.953836345,0.952882337,0.963704631,0.973333333,0.971567367,0.970007268,0.969697897,0.968523002,0.963984764,0.967741935,0.965847236,0.97,0.969216883,0.975735449,0.982075785,1,1,1.002004008,1.008474576,1.005586592,1.006451613,1.012373453,1.009174312,1.02,1.020123916,1.031259216,1.044785412,1.055384615,1.047619048,1.05,1.03491727,1.022074836,1.010517806,1.001821494,1,1,1.003297502,1.021472275,1.029577507,1.035199011,1.033907727,1.026421248,1.018366976,1.00617284,1.007793267,1,1,1,1,1.018142543,1.041666667,1.053125,1.061181435,1.054814815,1.046321968,1.036585366,1.025033935,1.015886288,1.013363029,1.010544815,1.010944625,1.03626943,1.044425771,1.045748709,1.040832666,1.026451613,1.016260163,1.007509387,1.001602564,1.000834028,1,1,1,1.01897019,1.034865954,1.049062577,1.042872041,1.043192274,1.040050063,1.048248345,1.054174002,1.067193676,1.074750971,1.093673101,1.096164875,1.125,1.135180665,1.137116705,1.114569233,1.080957002,1.049023796,1.025210084,1.006134969,1.000111123,0.976316675,0.974358974,0.969986951,0.995200014,1,1.000148335,1.002323731,1,0.997339538,0.989378884,0.97733711,0.974789916,0.978628303
13,25290,Jacksonville,City,FL,0.880972222,0.867579477,0.868313492,0.890741649,0.875547217,0.891634051,0.898062927,0.897435897,0.889883766,0.882585752,0.88208548,0.875437719,0.871619651,0.882352941,0.866670154,0.872483221,0.884289428,0.88316409,0.896103896,0.896805274,0.909421608,0.884887611,0.911025968,0.913242009,0.908735162,0.907590759,0.905982906,0.921420171,0.923283437,0.933277731,0.928,0.941577791,0.934600535,0.938706057,0.926357895,0.9375,0.947354563,0.939226519,0.946314832,0.950365525,0.955974843,0.954545455,0.952693488,0.956618465,0.95851216,0.948617508,0.945205479,0.932868033,0.912911172,0.915593705,0.936312531,0.9375,0.935682174,0.939811321,0.940134875,0.942105263,0.94233508,0.93705036,0.93997735,0.944554075,0.94117301,0.942028986,0.949143923,0.951959987,0.959885387,0.965131866,0.960768615,0.959282264,0.96,0.953846154,0.954139735,0.952,0.94887567,0.943641727,0.958974359,0.962666667,0.963380282,0.968435313,0.969442467,0.967741935,0.967741935,0.959132611,0.958244896,0.958333333,0.961283187,0.963302752,0.965478842,0.970891439,0.970042194,0.973063668,0.968931016,0.973952435,0.966981132,0.970588235,0.971014493,0.966272,0.967311541,0.966057719,0.972871843,0.97489538,0.97829108,0.979091019,0.974196946,0.977747461,0.969603694,0.966666667,0.967351423,0.958445094,0.960893855,0.966142635,0.96803653,0.966666667,0.973325248,0.976390556,0.971428571,0.972340426,0.969971857,0.965570517,0.963319748
14,32149,Indianapolis,City,IN,0.911882424,0.891719745,0.909642207,0.917431193,0.925617104,0.937617217,0.928,0.92005632,0.911128215,0.896551724,0.9,0.893655049,0.900643317,0.901694915,0.892374256,0.906521739,0.905408677,0.924650913,0.921380897,0.907834101,0.907215289,0.902580645,0.896710075,0.891333569,0.891762732,0.888888889,0.893262175,0.929401251,0.925925926,0.943214664,0.936931474,0.929413422,0.925800801,0.919446705,0.919935949,0.909449405,0.906223164,0.92,0.926829268,0.943396226,0.95182536,0.954545455,0.955968196,0.9543379,0.947312961,0.944636015,0.938673342,0.936708861,0.926666667,0.920262932,0.938823529,0.947950531,0.95376585,0.95890411,0.954063604,0.948328267,0.947368421,0.93573548,0.933962268,0.932647227,0.921671018,0.917360115,0.933333333,0.950633756,0.958886826,0.961662483,0.960936507,0.954595223,0.95,0.945454545,0.942285041,0.933862434,0.93059685,0.931336566,0.938547486,0.951843491,0.965020242,0.976800977,0.978571429,0.965456156,0.966072455,0.955358774,0.957142857,0.952380952,0.939957112,0.946091253,0.962135607,0.966183575,0.977099237,0.982857143,0.980637838,0.977465106,0.972222222,0.966572046,0.965517241,0.962414718,0.958162186,0.959093187,0.974632102,0.990232534,0.995526813,0.99615286,1,0.982413584,0.979989995,0.971280581,0.96877502,0.957242857,0.950854992,0.961165049,0.962605932,0.97627907,0.990412679,1,0.984728107,0.981732228,0.976370887,0.977179637,0.971358424
15,20330,San Francisco,City,CA,0.953051643,0.97311828,0.979772613,0.987296568,0.974235428,0.976190476,0.974829642,0.95896061,0.964343504,0.969793323,0.96427988,0.949056604,0.945270084,0.938281902,0.971781009,0.973251261,0.976078052,0.975815523,0.96037296,0.960874568,0.966925734,0.979967444,0.973495128,0.969375736,0.952540502,0.966666667,1,1,1.003081664,1.014686248,1.007851494,1.017083475,1.020922004,1.039562033,1.028125526,1.001251564,1.0125,1.048811014,1.051821447,1.073487382,1.081441923,1.092896175,1.082004556,1.067788382,1.078011756,1.072144289,1.055276382,1.026666667,1.023854777,1.086086086,1.109399076,1.105087573,1.115879828,1.11154307,1.100917431,1.081179147,1.075370258,1.087287047,1.071129707,1.035541195,1.038251366,1.096774194,1.124608508,1.122638697,1.159114858,1.141260397,1.126315789,1.121418004,1.12732475,1.125628141,1.085782105,1.0567297,1.033925687,1.085141903,1.071788204,1.07027027,1.071428571,1.059782609,1.060054647,1.040053405,1.054054054,1.0567297,1.04434907,1.009972517,1,1.054739653,1.056748119,1.058861278,1.082870783,1.065139826,1.095833333,1.103563603,1.084825513,1.084538376,1.072144289,1.053667435,1.019407559,1.064273975,1.10367893,1.123424912,1.117186103,1.108437536,1.088,1.057915058,1.096774194,1.081081081,1.037150332,1.016374269,1.000602773,1.034808672,1.04842224,1.055214724,1.084236864,1.098873592,1.091570649,1.068314615,1.052408478,1.082437276,1.051537086
16,24043,Charlotte,City,NC,0.888888889,0.886363636,0.901370624,0.909659813,0.908384283,0.921418833,0.907082231,0.894960862,0.887573964,0.895807967,0.884109299,0.874510716,0.867741116,0.877106046,0.8598351,0.904723779,0.885221305,0.896039183,0.903414747,0.903448276,0.905532891,0.895050895,0.900003,0.899876098,0.89643168,0.903703704,0.919220056,0.926767087,0.935990868,0.93974359,0.933333333,0.9296875,0.935386017,0.930814115,0.936339075,0.927272727,0.94224924,0.941666667,0.949192365,0.955810147,0.96,0.964231715,0.964705882,0.958823529,0.961448341,0.953339659,0.954033704,0.94224924,0.953172651,0.951219512,0.952607764,0.961538462,0.966012065,0.962304729,0.960377358,0.963453349,0.958191638,0.953708791,0.955555556,0.948979592,0.946282121,0.947953676,0.963855422,0.96744186,0.971291565,0.974477979,0.968228449,0.969064025,0.966981977,0.967204002,0.968461499,0.964974982,0.96,0.969111969,0.977675135,0.981066038,0.984555985,0.986596869,0.981563297,0.981081081,0.979661017,0.976022567,0.974842767,0.975609756,0.974983531,0.982931136,0.990909091,0.993391557,0.99408284,0.991803279,0.99,0.990909091,0.988081049,0.986425061,0.98,0.981854396,0.979574823,0.984555985,0.988827588,0.992968194,0.995486431,0.989985694,0.9875,0.983943505,0.981595092,0.975510204,0.972305589,0.976221887,0.971880492,0.976134507,0.981549564,0.984380031,0.985130112,0.986666667,0.981845128,0.977045321,0.98,0.976013699,0.979545455
17,18172,Fort Worth,City,TX,0.94276,0.94920472,0.944006826,0.95422342,0.955974843,0.951605516,0.947492333,0.934607702,0.931034483,0.934579439,0.928057554,0.919062515,0.909090909,0.914224446,0.932160804,0.929111111,0.925334821,0.942222222,0.926838305,0.939211147,0.937198284,0.928329463,0.934579439,0.936605317,0.926335709,0.942123586,0.946353225,0.956465998,0.965443475,0.964833931,0.957827019,0.959983994,0.948074534,0.95,0.953109244,0.951865873,0.95615336,0.957663674,0.963046701,0.969736395,0.974545455,0.975767841,0.977473931,0.972610088,0.970349611,0.967799539,0.961538462,0.957872565,0.955267438,0.962985301,0.97137746,0.978947368,0.981538462,0.980174672,0.980595084,0.975,0.971223022,0.967689738,0.964766623,0.970505779,0.974360654,0.976660117,0.985254141,0.987032315,0.99352904,1,0.996261682,0.990909091,0.982035928,0.975757576,0.974468085,0.975487744,0.97485072,0.977777778,0.99,0.996187092,1,1,1,0.994190375,0.985912185,0.97914006,0.98630137,0.982601131,0.98409789,0.985009298,1,1,1,1,1,0.988217942,0.98,0.975756685,0.978368684,0.975487744,0.977463179,0.982631147,0.985089279,0.997214463,1,0.991980523,0.992063492,0.983766094,0.980971155,0.972762646,0.973741669,0.966666667,0.971572508,0.974789916,0.981658428,0.984803425,0.986091767,0.986238532,0.986040016,0.982756424,0.973333333,0.972727273,0.970727046
18,7481,Tucson,City,AZ,0.916199201,0.898548813,0.925715717,0.91479313,0.92248062,0.930828903,0.917156863,0.899149808,0.894985337,0.890151515,0.888913582,0.882949809,0.876687544,0.863157895,0.874835115,0.892857143,0.900112528,0.905727,0.93,0.914860848,0.921212121,0.916979369,0.916879148,0.909090909,0.918265615,0.919076722,0.941227268,0.942782738,0.949783489,0.95483871,0.963636364,0.958468327,0.965591239,0.96,0.959387875,0.950731332,0.948424069,0.945945946,0.950118765,0.961146554,0.957881603,0.960733652,0.963927856,0.961464211,0.964864865,0.954773869,0.955223881,0.952380952,0.940767381,0.942624941,0.945211986,0.942747364,0.950950951,0.950570342,0.945945946,0.94547477,0.948552523,0.947298199,0.949820144,0.944706863,0.940438871,0.948651001,0.95,0.951231231,0.954545455,0.953846154,0.954267015,0.954802601,0.955263158,0.953333333,0.951895816,0.958756327,0.952380952,0.957274202,0.961075637,0.963429549,0.963117409,0.967898073,0.965714286,0.970809925,0.965324916,0.972511188,0.9707299,0.969848485,0.972972973,0.96875,0.972157623,0.975121905,0.977198697,0.975609756,0.97772028,0.974358974,0.971325797,0.972538405,0.966666667,0.967311541,0.966666667,0.970275842,0.968404423,0.975,0.975319637,0.976841996,0.975694151,0.974930362,0.974285714,0.979112272,0.97260274,0.976133516,0.971458967,0.971428571,0.974763156,0.977777778,0.980446927,0.981957011,0.982857143,0.983879933,0.980769231,0.980645161,0.985074627
19,10920,Columbus,City,OH,0.917422018,0.938911918,0.932432432,0.938673342,0.944829376,0.936960276,0.919733898,0.901794872,0.90051458,0.898989899,0.893401015,0.904761905,0.903846154,0.897716609,0.896752025,0.916834557,0.917906619,0.924239443,0.923189658,0.915658322,0.910229645,0.91938537,0.8928965,0.89360758,0.9035098,0.887877803,0.905624404,0.925905334,0.932982087,0.950478444,0.942378177,0.933977985,0.938657884,0.934965812,0.92980352,0.931372549,0.939849624,0.913271616,0.930116279,0.946666667,0.962077425,0.95867045,0.961399803,0.960692607,0.955414013,0.952834683,0.947097511,0.938424967,0.939929329,0.938086304,0.947867299,0.953846154,0.96361982,0.964513194,0.969555454,0.960219479,0.95934038,0.959543568,0.953969313,0.947113391,0.938673342,0.939993412,0.956778132,0.966638152,0.976,0.979220779,0.983463882,0.9758458,0.971326923,0.965157478,0.963851066,0.955157836,0.957183099,0.967418546,0.967741935,0.979104478,0.984615385,0.996607294,0.994983378,0.9914204,0.989462592,0.984602213,0.976164927,0.974987494,0.974603175,0.963545716,0.987134101,1,1,1,1,1,0.993995997,0.979310345,0.980560779,0.978686385,0.97972973,0.977207792,1,1,1.000488043,1.000506667,1,1,0.989561587,0.980586129,0.97511123,0.964668054,0.966823415,0.971428571,0.980196078,0.994372317,1,1,1,1,0.989793022,0.984615385,0.974169742
